id,intent,tone,conf
52987,Economic,Alarmist,0.3673605885065886
52986,Economic,Alarmist,0.4163136479665285
52985,SocialFragility,Sensationalist,0.5323359549730509
52984,SocialFragility,Sensationalist,0.5638615840927205
53278,SocialFragility,Sensationalist,0.44405058829295624
53280,SocialFragility,Alarmist,0.3894447132987924
53188,Sovereignty,Alarmist,0.4497188364713598
53187,Other,neutral,0.0
53426,Economic,Alarmist,0.3558008670806885
53427,SocialFragility,Alarmist,0.8455235374849033
53428,SocialFragility,Sensationalist,0.4570741653442383
53442,SocialFragility,Sensationalist,0.39396351716740435
52999,Economic,Alarmist,0.3673605885065886
53000,SocialFragility,Sensationalist,0.4560401527926321
53001,SocialFragility,Alarmist,0.3923155592181719
53002,SocialFragility,Alarmist,0.4690000829616927
53003,SocialFragility,Sensationalist,0.33598894401210044
53004,SocialFragility,Alarmist,0.48300130626415094
53005,SocialFragility,Sensationalist,0.4392438828594338
53006,SocialFragility,Alarmist,0.3948124488825999
53007,SocialFragility,Factual,0.37234052965265085
53008,SocialFragility,Alarmist,0.4819530791297473
53009,SocialFragility,Alarmist,0.36815200320167796
53010,Economic,Cynical,0.34659995412058003
53230,SocialFragility,Alarmist,0.43563385750502787
53279,Economic,Sensationalist,0.3700780846684556
53281,Other,neutral,0.0
53282,Other,neutral,0.0
53283,SocialFragility,Factual,0.7386580355799043
53443,Economic,Alarmist,0.43157715442256245
53444,SocialFragility,Sensationalist,0.36614731422438807
53445,SocialFragility,Alarmist,0.6928732546440562
53446,SocialFragility,Cynical,0.33316691761528433
53447,Economic,Alarmist,0.4264554962053454
53495,Other,neutral,0.0
53496,Sovereignty,Factual,0.663236767522467
53530,ElectionInfluence,Factual,1.0
53025,Other,Sensationalist,0.6293211755506101
53026,SocialFragility,Sensationalist,0.4833787004486556
53027,SocialFragility,Sensationalist,0.5754073555803347
53019,SocialFragility,Sensationalist,0.29563698912179404
53018,Economic,Cynical,0.30838226548440234
53450,Economic,Sensationalist,0.37904456129417574
53449,SocialFragility,Sensationalist,0.4975716529341392
53448,SocialFragility,Sensationalist,0.45749901017741024
53013,Economic,Alarmist,0.2992426703462894
53014,SocialFragility,Cynical,0.35904662042346575
53015,Economic,Alarmist,0.3205472356970364
